iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6761716e-310,-1.0694535e+304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9127892e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363466e+16,1.3591407e+18,1.8424327e+18,6.235428e+20,0,89861.83,0,89861.83,0,1.35e+21,11.016891,-1.1011435e-08,11.016892,0,0,1.8712053e+08,-2.0950113e+12,8.717426e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.2111059e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220913,1.950329e+16,1.8187344e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286269e+16,1.2315018e+18,2.2544387e+18,6.3947308e+20,0,242930.18,0,242930.18,0,1.35e+21,26.05223,4.7353058e-08,26.05223,0,0,1.7506546e+08,-1.4698533e+12,8.6048851e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542386e+10,6.1578128e+08,1.1271193e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702230,2.9506624e+16,3.0472556e+16,1.8145451e+21,0,8.3684502e+18,3.0133117e+18,4.32e+12,3.1934e+16,1.1158972e+18,2.6419998e+18,6.5042875e+20,0,467936.74,0,467936.74,0,1.35e+21,45.312458,-3.5216708e-08,45.312458,0,0,1.6378786e+08,-1.0521478e+12,8.4225731e+09,-8.3677677e+10,-3.0134202e+10,-1.1159522e+10,-2.6418125e+10,5.5797611e+08,1.3209063e+09,2.2917896e+10,2.2917896e+10,2.3261075e+11,1.4538172e+10,4444883.9
8000,40,0,1.0308141e+08,3.9796849e+16,4.4642233e+16,1.8055347e+21,0,9.6501184e+18,2.805642e+18,4.32e+12,3.2378755e+16,1.011189e+18,3.0029524e+18,6.5808556e+20,0,774744.03,0,774744.03,0,1.35e+21,69.068057,-7.049934e-09,69.068057,0,0,1.5323758e+08,-7.6779906e+11,8.1979563e+09,-9.6495185e+10,-2.8057413e+10,-1.0112388e+10,-3.0027787e+10,5.0561942e+08,1.5013894e+09,2.4987258e+10,2.4987258e+10,2.2592594e+11,1.4120371e+10,6113062.7
10000,50,0,1.2206697e+08,5.0444168e+16,6.0562865e+16,1.7989015e+21,0,1.0771727e+19,2.6154666e+18,4.32e+12,3.2668523e+16,9.1634727e+17,3.3364589e+18,6.6352333e+20,0,1172064.3,0,1172064.3,0,1.35e+21,97.626871,1.2708439e-07,97.626871,0,0,1.4336773e+08,-5.7064816e+11,7.9485851e+09,-1.0771204e+11,-2.6155577e+10,-9.1639239e+09,-3.3362991e+10,4.5819619e+08,1.6681495e+09,2.6797552e+10,2.6797552e+10,2.189044e+11,1.3681525e+10,8072279.2
12000,60,0,1.4140839e+08,6.150445e+16,7.8098889e+16,1.7939305e+21,0,1.1744667e+19,2.4409447e+18,4.32e+12,3.2836485e+16,8.3043947e+17,3.6425206e+18,6.6744834e+20,0,1667499,0,1667499,0,1.35e+21,131.32225,-1.788888e-08,131.32225,0,0,1.3413441e+08,-4.3146121e+11,7.6859726e+09,-1.1744215e+11,-2.4410284e+10,-8.3048033e+09,-3.6423744e+10,4.1524017e+08,1.8211872e+09,2.8364126e+10,2.8364126e+10,2.1183488e+11,1.323968e+10,10316673
14000,70,0,1.6089312e+08,7.3021169e+16,9.7116035e+16,1.7901431e+21,0,1.2581235e+19,2.2805003e+18,4.32e+12,3.2906495e+16,7.5262148e+17,3.9216733e+18,6.7032905e+20,0,2267596.1,0,2267596.1,0,1.35e+21,170.50325,0,170.50325,0,9.765625e-08,1.2549658e+08,-3.3142883e+11,7.4178446e+09,-1.2580849e+11,-2.2805773e+10,-7.526585e+09,-3.9215403e+10,3.7632925e+08,1.9607701e+09,2.9704913e+10,2.9704913e+10,2.0489035e+11,1.2805647e+10,12836576
16000,80,0,1.8034306e+08,8.5027138e+16,1.1748346e+17,1.7872133e+21,0,1.3293824e+19,2.1327683e+18,4.32e+12,3.2896369e+16,6.821291e+17,4.1747934e+18,6.724802e+20,0,2977917.4,0,2977917.4,0,1.35e+21,215.52666,4.5170935e-08,215.52666,0,0,1.1741582e+08,-2.5826406e+11,7.1494765e+09,-1.3293496e+11,-2.1328392e+10,-6.8216264e+09,-4.1746732e+10,3.4108132e+08,2.0873366e+09,3.0838765e+10,3.0838765e+10,1.9817226e+11,1.2385766e+10,15619498
18000,90,0,1.9961082e+08,9.7546052e+16,1.3907508e+17,1.784916e+21,0,1.3894452e+19,1.9965554e+18,4.32e+12,3.2819901e+16,6.1827047e+17,4.4029717e+18,6.7411586e+20,0,3803109,0,3803109,0,1.35e+21,266.75054,-4.1196984e-08,266.75054,0,0,1.0985622e+08,-2.0382262e+11,6.88451e+09,-1.3894178e+11,-1.9966208e+10,-6.1830085e+09,-4.4028636e+10,3.0915043e+08,2.2014318e+09,3.1784464e+10,3.1784464e+10,1.9173753e+11,1.1983596e+10,18650954
