iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6661134e-310,1.4437464e+174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.700141e+15,7.9104837e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363685e+16,1.3591407e+18,1.8424345e+18,6.235428e+20,0,617283.96,0,617283.96,0,1.35e+21,75.699896,3.2794489e-08,75.699896,0,0,1.8712053e+08,-2.0950113e+12,8.7174887e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.842223e+10,6.7960387e+08,9.2111148e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220945,1.950329e+16,1.8175623e+16,1.8270175e+21,0,6.917624e+18,3.2406615e+18,4.32e+12,3.128688e+16,1.2315018e+18,2.254448e+18,6.3947308e+20,0,1668160.4,0,1668160.4,0,1.35e+21,179.01158,-3.4850331e-08,179.01158,0,0,1.7506546e+08,-1.4698533e+12,8.6050529e+09,-6.9168552e+10,-3.2407805e+10,-1.2315626e+10,-2.2542478e+10,6.1578128e+08,1.1271239e+09,2.0579501e+10,2.0579501e+10,2.3848026e+11,1.4905016e+10,3068630.7
6000,30,0,84702330,2.9506624e+16,3.0440443e+16,1.8145451e+21,0,8.3684505e+18,3.0133151e+18,4.32e+12,3.1935195e+16,1.1158972e+18,2.6420251e+18,6.5042875e+20,0,3211926.1,0,3211926.1,0,1.35e+21,311.35356,4.0240536e-08,311.35356,0,0,1.6378786e+08,-1.0521478e+12,8.4228883e+09,-8.3677679e+10,-3.0134237e+10,-1.1159522e+10,-2.6418379e+10,5.5797611e+08,1.3209189e+09,2.2917926e+10,2.2917926e+10,2.3261075e+11,1.4538172e+10,4444889.1
8000,40,0,1.0308164e+08,3.9796852e+16,4.4574304e+16,1.8055347e+21,0,9.6501191e+18,2.805649e+18,4.32e+12,3.2380758e+16,1.011189e+18,3.0030055e+18,6.5808556e+20,0,5315366.7,0,5315366.7,0,1.35e+21,474.58444,-3.6146844e-08,474.58444,0,0,1.5323758e+08,-7.6779898e+11,8.1984633e+09,-9.6495191e+10,-2.8057483e+10,-1.0112389e+10,-3.0028318e+10,5.0561943e+08,1.5014159e+09,2.4987322e+10,2.4987322e+10,2.2592594e+11,1.4120371e+10,6113076.7
10000,50,0,1.2206745e+08,5.0444179e+16,6.0438726e+16,1.7989015e+21,0,1.0771728e+19,2.6154789e+18,4.32e+12,3.2671582e+16,9.1634728e+17,3.3365549e+18,6.6352334e+20,0,8037050.3,0,8037050.3,0,1.35e+21,670.81953,-4.1358931e-08,670.81953,0,0,1.4336773e+08,-5.7064798e+11,7.9493293e+09,-1.0771205e+11,-2.61557e+10,-9.163924e+09,-3.336395e+10,4.581962e+08,1.6681975e+09,2.6797666e+10,2.6797666e+10,2.189044e+11,1.3681525e+10,8072310.5
12000,60,0,1.4140924e+08,6.1504481e+16,7.7892735e+16,1.7939305e+21,0,1.1744669e+19,2.4409643e+18,4.32e+12,3.2840873e+16,8.3043948e+17,3.6426781e+18,6.6744836e+20,0,11427574,0,11427574,0,1.35e+21,902.34944,-4.8661491e-08,902.34944,0,0,1.3413441e+08,-4.3146089e+11,7.6869995e+09,-1.1744218e+11,-2.4410479e+10,-8.3048035e+09,-3.6425318e+10,4.1524017e+08,1.8212659e+09,2.8364314e+10,2.8364314e+10,2.1183489e+11,1.3239681e+10,10316736
14000,70,0,1.6089455e+08,7.3021236e+16,9.6796267e+16,1.7901431e+21,0,1.258124e+19,2.2805293e+18,4.32e+12,3.2912505e+16,7.526215e+17,3.9219145e+18,6.7032908e+20,0,15529939,0,15529939,0,1.35e+21,1171.5728,0,1171.5728,0,9.765625e-08,1.2549658e+08,-3.3142831e+11,7.4191993e+09,-1.2580854e+11,-2.2806062e+10,-7.5265852e+09,-3.9217815e+10,3.7632926e+08,1.9608907e+09,2.97052e+10,2.97052e+10,2.0489036e+11,1.2805648e+10,12836690
16000,80,0,1.8034531e+08,8.5027267e+16,1.1701237e+17,1.7872133e+21,0,1.3293831e+19,2.1328092e+18,4.32e+12,3.2904312e+16,6.8212913e+17,4.1751442e+18,6.7248025e+20,0,20379995,0,20379995,0,1.35e+21,1480.9414,0,1480.9414,0,9.765625e-08,1.1741582e+08,-2.5826326e+11,7.1512027e+09,-1.3293504e+11,-2.1328801e+10,-6.8216267e+09,-4.1750239e+10,3.4108133e+08,2.087512e+09,3.083918e+10,3.083918e+10,1.9817227e+11,1.2385767e+10,15619693
18000,90,0,1.996142e+08,9.7546279e+16,1.384086e+17,1.784916e+21,0,1.3894464e+19,1.9966108e+18,4.32e+12,3.2830105e+16,6.1827051e+17,4.4034616e+18,6.7411594e+20,0,26006921,0,26006921,0,1.35e+21,1832.9159,-2.153206e-08,1832.9159,0,0,1.0985622e+08,-2.0382146e+11,6.8866501e+09,-1.389419e+11,-1.9966762e+10,-6.1830089e+09,-4.4033535e+10,3.0915045e+08,2.2016768e+09,3.1785044e+10,3.1785044e+10,1.9173755e+11,1.1983597e+10,18651270
