iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6675797e-310,-3.7618866e-178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.912694e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363475e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,111653.33,0,111653.33,0,1.35e+21,13.688653,-4.7523184e-08,13.688653,0,0,1.8712053e+08,-2.0950113e+12,8.7174286e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422213e+10,6.7960387e+08,9.2111063e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220914,1.950329e+16,1.818686e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286295e+16,1.2315018e+18,2.2544391e+18,6.3947308e+20,0,301836.35,0,301836.35,0,1.35e+21,32.370286,2.1973428e-08,32.370286,0,0,1.7506546e+08,-1.4698533e+12,8.6048921e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542389e+10,6.1578128e+08,1.1271195e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702234,2.9506624e+16,3.0471228e+16,1.8145451e+21,0,8.3684502e+18,3.0133118e+18,4.32e+12,3.1934049e+16,1.1158972e+18,2.6420008e+18,6.5042875e+20,0,581393.08,0,581393.08,0,1.35e+21,56.301407,0,56.301407,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225861e+09,-8.3677677e+10,-3.0134204e+10,-1.1159522e+10,-2.6418136e+10,5.5797611e+08,1.3209068e+09,2.2917897e+10,2.2917897e+10,2.3261075e+11,1.4538172e+10,4444884.1
8000,40,0,1.0308142e+08,3.9796849e+16,4.4639425e+16,1.8055347e+21,0,9.6501184e+18,2.8056423e+18,4.32e+12,3.2378838e+16,1.011189e+18,3.0029546e+18,6.5808556e+20,0,962570.51,0,962570.51,0,1.35e+21,85.818095,3.875607e-08,85.818095,0,0,1.5323758e+08,-7.6779906e+11,8.1979773e+09,-9.6495185e+10,-2.8057416e+10,-1.0112388e+10,-3.0027809e+10,5.0561942e+08,1.5013905e+09,2.4987261e+10,2.4987261e+10,2.2592594e+11,1.4120371e+10,6113063.3
10000,50,0,1.2206699e+08,5.0444168e+16,6.0557731e+16,1.7989015e+21,0,1.0771727e+19,2.6154672e+18,4.32e+12,3.266865e+16,9.1634727e+17,3.3364629e+18,6.6352333e+20,0,1456184,0,1456184,0,1.35e+21,121.30285,1.447987e-07,121.30285,0,0,1.4336773e+08,-5.7064815e+11,7.9486159e+09,-1.0771204e+11,-2.6155582e+10,-9.1639239e+09,-3.336303e+10,4.5819619e+08,1.6681515e+09,2.6797556e+10,2.6797556e+10,2.189044e+11,1.3681525e+10,8072280.5
12000,60,0,1.4140842e+08,6.1504451e+16,7.8090359e+16,1.7939305e+21,0,1.1744667e+19,2.4409455e+18,4.32e+12,3.2836667e+16,8.3043947e+17,3.6425271e+18,6.6744834e+20,0,2071666.2,0,2071666.2,0,1.35e+21,163.16986,-2.983947e-08,163.16986,0,0,1.3413441e+08,-4.314612e+11,7.6860151e+09,-1.1744215e+11,-2.4410292e+10,-8.3048033e+09,-3.6423809e+10,4.1524017e+08,1.8211904e+09,2.8364134e+10,2.8364134e+10,2.1183488e+11,1.323968e+10,10316676
14000,70,0,1.6089318e+08,7.3021172e+16,9.7102799e+16,1.7901431e+21,0,1.2581235e+19,2.2805015e+18,4.32e+12,3.2906744e+16,7.5262148e+17,3.9216833e+18,6.7032905e+20,0,2817138.2,0,2817138.2,0,1.35e+21,211.85285,0,211.85285,0,9.765625e-08,1.2549658e+08,-3.3142881e+11,7.4179008e+09,-1.2580849e+11,-2.2805785e+10,-7.526585e+09,-3.9215503e+10,3.7632925e+08,1.9607751e+09,2.9704925e+10,2.9704925e+10,2.0489035e+11,1.2805647e+10,12836581
16000,80,0,1.8034315e+08,8.5027143e+16,1.1746395e+17,1.7872133e+21,0,1.3293824e+19,2.13277e+18,4.32e+12,3.2896698e+16,6.821291e+17,4.1748079e+18,6.724802e+20,0,3699492.5,0,3699492.5,0,1.35e+21,267.79511,2.8113334e-08,267.79511,0,0,1.1741582e+08,-2.5826403e+11,7.1495481e+09,-1.3293497e+11,-2.1328409e+10,-6.8216264e+09,-4.1746877e+10,3.4108132e+08,2.0873438e+09,3.0838782e+10,3.0838782e+10,1.9817226e+11,1.2385766e+10,15619506
18000,90,0,1.9961096e+08,9.7546062e+16,1.3904747e+17,1.784916e+21,0,1.3894453e+19,1.9965577e+18,4.32e+12,3.2820325e+16,6.1827047e+17,4.402992e+18,6.7411587e+20,0,4724481.8,0,4724481.8,0,1.35e+21,331.44158,2.1513245e-08,331.44158,0,0,1.0985622e+08,-2.0382257e+11,6.8845988e+09,-1.3894179e+11,-1.9966231e+10,-6.1830085e+09,-4.4028839e+10,3.0915043e+08,2.201442e+09,3.1784488e+10,3.1784488e+10,1.9173753e+11,1.1983596e+10,18650967
