iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6880208e-310,1.3825819e+31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9129044e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363455e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,63496.109,0,63496.109,0,1.35e+21,7.7843904,-2.3704892e-08,7.7843904,0,0,1.8712053e+08,-2.0950113e+12,8.7174229e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111055e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.950329e+16,1.818793e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286239e+16,1.2315018e+18,2.2544382e+18,6.3947308e+20,0,171656.8,0,171656.8,0,1.35e+21,18.408163,-4.8387722e-08,18.408163,0,0,1.7506546e+08,-1.4698533e+12,8.6048767e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542381e+10,6.1578128e+08,1.127119e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702225,2.9506624e+16,3.0474162e+16,1.8145451e+21,0,8.3684502e+18,3.0133115e+18,4.32e+12,3.193394e+16,1.1158972e+18,2.6419985e+18,6.5042875e+20,0,330655.36,0,330655.36,0,1.35e+21,32.017186,4.8231563e-08,32.017186,0,0,1.6378786e+08,-1.0521478e+12,8.4225573e+09,-8.3677677e+10,-3.0134201e+10,-1.1159522e+10,-2.6418113e+10,5.5797611e+08,1.3209056e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.6
8000,40,0,1.0308139e+08,3.9796849e+16,4.4645632e+16,1.8055347e+21,0,9.6501184e+18,2.8056416e+18,4.32e+12,3.2378655e+16,1.011189e+18,3.0029497e+18,6.5808556e+20,0,547465.59,0,547465.59,0,1.35e+21,48.802579,3.684427e-08,48.802579,0,0,1.5323758e+08,-7.6779907e+11,8.197931e+09,-9.6495184e+10,-2.8057409e+10,-1.0112388e+10,-3.0027761e+10,5.0561942e+08,1.501388e+09,2.4987255e+10,2.4987255e+10,2.2592594e+11,1.4120371e+10,6113062
10000,50,0,1.2206695e+08,5.0444167e+16,6.0569078e+16,1.7989015e+21,0,1.0771727e+19,2.615466e+18,4.32e+12,3.266837e+16,9.1634727e+17,3.3364541e+18,6.6352333e+20,0,828250.16,0,828250.16,0,1.35e+21,68.98186,1.3882381e-07,68.98186,0,0,1.4336773e+08,-5.7064817e+11,7.9485478e+09,-1.0771204e+11,-2.6155571e+10,-9.1639239e+09,-3.3362943e+10,4.5819619e+08,1.6681471e+09,2.6797546e+10,2.6797546e+10,2.189044e+11,1.3681525e+10,8072277.6
12000,60,0,1.4140834e+08,6.1504448e+16,7.8109211e+16,1.7939305e+21,0,1.1744666e+19,2.4409438e+18,4.32e+12,3.2836265e+16,8.3043947e+17,3.6425127e+18,6.6744834e+20,0,1178388.5,0,1178388.5,0,1.35e+21,92.790569,0,92.790569,0,9.765625e-08,1.3413441e+08,-4.3146122e+11,7.6859212e+09,-1.1744215e+11,-2.4410274e+10,-8.3048033e+09,-3.6423665e+10,4.1524017e+08,1.8211832e+09,2.8364117e+10,2.8364117e+10,2.1183488e+11,1.323968e+10,10316670
14000,70,0,1.6089305e+08,7.3021165e+16,9.7132053e+16,1.7901431e+21,0,1.2581235e+19,2.2804989e+18,4.32e+12,3.2906193e+16,7.5262148e+17,3.9216612e+18,6.7032905e+20,0,1602517.8,0,1602517.8,0,1.35e+21,120.47535,0,120.47535,0,9.765625e-08,1.2549658e+08,-3.3142886e+11,7.4177767e+09,-1.2580849e+11,-2.2805758e+10,-7.526585e+09,-3.9215282e+10,3.7632925e+08,1.9607641e+09,2.9704899e+10,2.9704899e+10,2.0489035e+11,1.2805647e+10,12836571
16000,80,0,1.8034295e+08,8.5027131e+16,1.1750707e+17,1.7872133e+21,0,1.3293823e+19,2.1327663e+18,4.32e+12,3.289597e+16,6.821291e+17,4.1747758e+18,6.724802e+20,0,2104580,0,2104580,0,1.35e+21,152.28828,0,152.28828,0,9.765625e-08,1.1741582e+08,-2.582641e+11,7.1493899e+09,-1.3293496e+11,-2.1328372e+10,-6.8216263e+09,-4.1746556e+10,3.4108132e+08,2.0873278e+09,3.0838744e+10,3.0838744e+10,1.9817226e+11,1.2385766e+10,15619488
18000,90,0,1.9961065e+08,9.7546041e+16,1.391085e+17,1.784916e+21,0,1.3894452e+19,1.9965526e+18,4.32e+12,3.2819389e+16,6.1827047e+17,4.4029471e+18,6.7411586e+20,0,2687872.4,0,2687872.4,0,1.35e+21,188.4824,0,188.4824,0,9.765625e-08,1.0985622e+08,-2.0382268e+11,6.8844026e+09,-1.3894177e+11,-1.996618e+10,-6.1830085e+09,-4.4028391e+10,3.0915042e+08,2.2014195e+09,3.1784435e+10,3.1784435e+10,1.9173753e+11,1.1983596e+10,18650938
