iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6695581e-310,-0.00018403533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001413e+15,7.9130632e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036344e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,27174.727,0,27174.727,0,1.35e+21,3.3314552,4.6119157e-08,3.3314552,0,0,1.8712053e+08,-2.0950113e+12,8.7174186e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111048e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.8188737e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286197e+16,1.2315018e+18,2.2544376e+18,6.3947308e+20,0,73466.55,0,73466.55,0,1.35e+21,7.8780697,-1.6977085e-08,7.8780697,0,0,1.7506546e+08,-1.4698533e+12,8.6048652e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542375e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702218,2.9506624e+16,3.0476374e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.1933858e+16,1.1158972e+18,2.6419968e+18,6.5042875e+20,0,141519.56,0,141519.56,0,1.35e+21,13.70227,0,13.70227,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225356e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418095e+10,5.5797611e+08,1.3209048e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.3
8000,40,0,1.0308138e+08,3.9796848e+16,4.4650314e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.2378517e+16,1.011189e+18,3.0029461e+18,6.5808556e+20,0,234321.28,0,234321.28,0,1.35e+21,20.885849,-1.1919212e-08,20.885849,0,0,1.5323758e+08,-7.6779907e+11,8.197896e+09,-9.6495184e+10,-2.8057404e+10,-1.0112388e+10,-3.0027724e+10,5.0561942e+08,1.5013862e+09,2.4987251e+10,2.4987251e+10,2.2592594e+11,1.4120371e+10,6113061
10000,50,0,1.2206692e+08,5.0444166e+16,6.0577638e+16,1.7989015e+21,0,1.0771726e+19,2.6154652e+18,4.32e+12,3.2668159e+16,9.1634727e+17,3.3364475e+18,6.6352333e+20,0,354513.08,0,354513.08,0,1.35e+21,29.521897,9.6599759e-08,29.521897,0,0,1.4336773e+08,-5.7064818e+11,7.9484965e+09,-1.0771204e+11,-2.6155562e+10,-9.1639239e+09,-3.3362876e+10,4.5819619e+08,1.6681438e+09,2.6797538e+10,2.6797538e+10,2.189044e+11,1.3681525e+10,8072275.4
12000,60,0,1.4140829e+08,6.1504446e+16,7.8123432e+16,1.7939305e+21,0,1.1744666e+19,2.4409424e+18,4.32e+12,3.2835962e+16,8.3043947e+17,3.6425019e+18,6.6744834e+20,0,504402.16,0,504402.16,0,1.35e+21,39.711217,4.0279886e-08,39.711217,0,0,1.3413441e+08,-4.3146125e+11,7.6858503e+09,-1.1744215e+11,-2.441026e+10,-8.3048033e+09,-3.6423556e+10,4.1524017e+08,1.8211778e+09,2.8364104e+10,2.8364104e+10,2.1183488e+11,1.323968e+10,10316666
14000,70,0,1.6089295e+08,7.3021161e+16,9.7154123e+16,1.7901431e+21,0,1.2581235e+19,2.2804969e+18,4.32e+12,3.2905778e+16,7.5262148e+17,3.9216446e+18,6.7032904e+20,0,685979.11,0,685979.11,0,1.35e+21,51.55936,0,51.55936,0,9.765625e-08,1.2549658e+08,-3.3142889e+11,7.4176831e+09,-1.2580848e+11,-2.2805738e+10,-7.526585e+09,-3.9215116e+10,3.7632925e+08,1.9607558e+09,2.9704879e+10,2.9704879e+10,2.0489035e+11,1.2805647e+10,12836563
16000,80,0,1.8034279e+08,8.5027122e+16,1.175396e+17,1.7872133e+21,0,1.3293823e+19,2.1327635e+18,4.32e+12,3.2895421e+16,6.821291e+17,4.1747516e+18,6.7248019e+20,0,900938.22,0,900938.22,0,1.35e+21,65.174217,-1.7678332e-08,65.174217,0,0,1.1741582e+08,-2.5826416e+11,7.1492705e+09,-1.3293495e+11,-2.1328344e+10,-6.8216263e+09,-4.1746313e+10,3.4108132e+08,2.0873157e+09,3.0838715e+10,3.0838715e+10,1.9817226e+11,1.2385766e+10,15619475
18000,90,0,1.9961042e+08,9.7546025e+16,1.3915455e+17,1.784916e+21,0,1.3894451e+19,1.9965488e+18,4.32e+12,3.2818682e+16,6.1827047e+17,4.4029133e+18,6.7411586e+20,0,1150699.1,0,1150699.1,0,1.35e+21,80.664064,1.0840267e-08,80.664064,0,0,1.0985622e+08,-2.0382276e+11,6.8842544e+09,-1.3894177e+11,-1.9966142e+10,-6.1830085e+09,-4.4028052e+10,3.0915042e+08,2.2014026e+09,3.1784395e+10,3.1784395e+10,1.9173753e+11,1.1983596e+10,18650916
