iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6537582e-310,-6.1953193e-183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9130385e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363443e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,32824.816,0,32824.816,0,1.35e+21,0.04024134,3.1777055e-08,0.040241309,0,0,1.8712053e+08,-2.0950113e+12,8.7174192e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111049e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.8188612e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286203e+16,1.2315018e+18,2.2544377e+18,6.3947308e+20,0,88741.16,0,88741.16,0,1.35e+21,0.095160842,2.5688704e-09,0.09516084,0,0,1.7506546e+08,-1.4698533e+12,8.604867e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542376e+10,6.1578128e+08,1.1271188e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702220,2.9506624e+16,3.047603e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.193387e+16,1.1158972e+18,2.6419971e+18,6.5042875e+20,0,170942.48,0,170942.48,0,1.35e+21,0.16551257,0,0.16551257,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225389e+09,-8.3677677e+10,-3.0134199e+10,-1.1159522e+10,-2.6418098e+10,5.5797611e+08,1.3209049e+09,2.2917893e+10,2.2917893e+10,2.3261075e+11,1.4538172e+10,4444883.3
8000,40,0,1.0308138e+08,3.9796849e+16,4.4649585e+16,1.8055347e+21,0,9.6501183e+18,2.8056412e+18,4.32e+12,3.2378538e+16,1.011189e+18,3.0029466e+18,6.5808556e+20,0,283036.93,0,283036.93,0,1.35e+21,0.25228452,4.7699912e-08,0.25228447,0,0,1.5323758e+08,-7.6779907e+11,8.1979014e+09,-9.6495184e+10,-2.8057405e+10,-1.0112388e+10,-3.002773e+10,5.0561942e+08,1.5013865e+09,2.4987251e+10,2.4987251e+10,2.2592594e+11,1.4120371e+10,6113061.2
10000,50,0,1.2206692e+08,5.0444167e+16,6.0576306e+16,1.7989015e+21,0,1.0771726e+19,2.6154653e+18,4.32e+12,3.2668192e+16,9.1634727e+17,3.3364485e+18,6.6352333e+20,0,428214.31,0,428214.31,0,1.35e+21,0.35660114,6.8168028e-08,0.35660107,0,0,1.4336773e+08,-5.7064818e+11,7.9485045e+09,-1.0771204e+11,-2.6155564e+10,-9.1639239e+09,-3.3362887e+10,4.5819619e+08,1.6681443e+09,2.6797539e+10,2.6797539e+10,2.189044e+11,1.3681525e+10,8072275.8
12000,60,0,1.4140829e+08,6.1504447e+16,7.812122e+16,1.7939305e+21,0,1.1744666e+19,2.4409426e+18,4.32e+12,3.283601e+16,8.3043946e+17,3.6425036e+18,6.6744834e+20,0,609260.6,0,609260.6,0,1.35e+21,0.47968005,0,0.47968005,0,9.765625e-08,1.3413441e+08,-4.3146124e+11,7.6858613e+09,-1.1744215e+11,-2.4410262e+10,-8.3048033e+09,-3.6423573e+10,4.1524016e+08,1.8211787e+09,2.8364106e+10,2.8364106e+10,2.1183488e+11,1.323968e+10,10316666
14000,70,0,1.6089296e+08,7.3021163e+16,9.7150689e+16,1.7901431e+21,0,1.2581235e+19,2.2804972e+18,4.32e+12,3.2905842e+16,7.5262148e+17,3.9216471e+18,6.7032904e+20,0,828579.15,0,828579.15,0,1.35e+21,0.62279626,0,0.62279626,0,9.765625e-08,1.2549658e+08,-3.3142889e+11,7.4176977e+09,-1.2580848e+11,-2.2805741e+10,-7.5265849e+09,-3.9215142e+10,3.7632925e+08,1.9607571e+09,2.9704882e+10,2.9704882e+10,2.0489035e+11,1.2805647e+10,12836564
16000,80,0,1.8034282e+08,8.5027126e+16,1.1753454e+17,1.7872133e+21,0,1.3293823e+19,2.1327639e+18,4.32e+12,3.2895506e+16,6.821291e+17,4.1747553e+18,6.7248019e+20,0,1088215.2,0,1088215.2,0,1.35e+21,0.78725295,0,0.78725295,0,9.765625e-08,1.1741582e+08,-2.5826415e+11,7.1492891e+09,-1.3293496e+11,-2.1328348e+10,-6.8216263e+09,-4.1746351e+10,3.4108132e+08,2.0873176e+09,3.0838719e+10,3.0838719e+10,1.9817226e+11,1.2385766e+10,15619477
18000,90,0,1.9961045e+08,9.7546031e+16,1.3914739e+17,1.784916e+21,0,1.3894451e+19,1.9965494e+18,4.32e+12,3.2818792e+16,6.1827046e+17,4.4029185e+18,6.7411586e+20,0,1389881.8,0,1389881.8,0,1.35e+21,0.97435806,0,0.97435806,0,9.765625e-08,1.0985622e+08,-2.0382275e+11,6.8842775e+09,-1.3894177e+11,-1.9966148e+10,-6.1830084e+09,-4.4028105e+10,3.0915042e+08,2.2014052e+09,3.1784401e+10,3.1784401e+10,1.9173753e+11,1.1983596e+10,18650919
