iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001412e+15,7.9125411e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036349e+16,1.3591407e+18,1.8424329e+18,6.235428e+20,0,146626.23,0,146626.23,0,1.35e+21,17.976664,-4.4208115e-08,17.976664,0,0,1.8712053e+08,-2.0950113e+12,8.7174328e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422214e+10,6.7960387e+08,9.2111069e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220916,1.950329e+16,1.8186082e+16,1.8270175e+21,0,6.9176239e+18,3.2406603e+18,4.32e+12,3.1286335e+16,1.2315018e+18,2.2544397e+18,6.3947308e+20,0,396370.56,0,396370.56,0,1.35e+21,42.510376,4.3827669e-08,42.510376,0,0,1.7506546e+08,-1.4698533e+12,8.6049032e+09,-6.9168552e+10,-3.2407793e+10,-1.2315626e+10,-2.2542396e+10,6.1578128e+08,1.1271198e+09,2.0579491e+10,2.0579491e+10,2.3848026e+11,1.4905016e+10,3068629.4
6000,30,0,84702241,2.9506624e+16,3.0469098e+16,1.8145451e+21,0,8.3684502e+18,3.0133121e+18,4.32e+12,3.1934129e+16,1.1158972e+18,2.6420025e+18,6.5042875e+20,0,763462.85,0,763462.85,0,1.35e+21,73.937993,0,73.937993,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.422607e+09,-8.3677677e+10,-3.0134206e+10,-1.1159522e+10,-2.6418153e+10,5.5797611e+08,1.3209076e+09,2.2917899e+10,2.2917899e+10,2.3261075e+11,1.4538172e+10,4444884.5
8000,40,0,1.0308143e+08,3.9796849e+16,4.4634918e+16,1.8055347e+21,0,9.6501185e+18,2.8056427e+18,4.32e+12,3.2378971e+16,1.011189e+18,3.0029581e+18,6.5808556e+20,0,1263971,0,1263971,0,1.35e+21,112.70087,-7.1360375e-09,112.70087,0,0,1.5323758e+08,-7.6779905e+11,8.198011e+09,-9.6495185e+10,-2.805742e+10,-1.0112389e+10,-3.0027845e+10,5.0561943e+08,1.5013922e+09,2.4987265e+10,2.4987265e+10,2.2592594e+11,1.4120371e+10,6113064.2
10000,50,0,1.2206702e+08,5.0444169e+16,6.0549492e+16,1.7989015e+21,0,1.0771727e+19,2.615468e+18,4.32e+12,3.2668853e+16,9.1634727e+17,3.3364693e+18,6.6352333e+20,0,1912077.9,0,1912077.9,0,1.35e+21,159.30134,5.1861889e-08,159.30134,0,0,1.4336773e+08,-5.7064814e+11,7.9486653e+09,-1.0771204e+11,-2.615559e+10,-9.1639239e+09,-3.3363094e+10,4.5819619e+08,1.6681547e+09,2.6797564e+10,2.6797564e+10,2.189044e+11,1.3681525e+10,8072282.5
12000,60,0,1.4140848e+08,6.1504453e+16,7.8076672e+16,1.7939305e+21,0,1.1744667e+19,2.4409468e+18,4.32e+12,3.2836959e+16,8.3043947e+17,3.6425376e+18,6.6744835e+20,0,2720145.1,0,2720145.1,0,1.35e+21,214.28332,0,214.28332,0,9.765625e-08,1.3413441e+08,-4.3146117e+11,7.6860834e+09,-1.1744216e+11,-2.4410305e+10,-8.3048033e+09,-3.6423913e+10,4.1524017e+08,1.8211957e+09,2.8364146e+10,2.8364146e+10,2.1183488e+11,1.323968e+10,10316680
14000,70,0,1.6089327e+08,7.3021176e+16,9.7081561e+16,1.7901431e+21,0,1.2581236e+19,2.2805034e+18,4.32e+12,3.2907143e+16,7.5262148e+17,3.9216993e+18,6.7032905e+20,0,3698806.1,0,3698806.1,0,1.35e+21,278.21641,0,278.21641,0,9.765625e-08,1.2549658e+08,-3.3142877e+11,7.4179908e+09,-1.2580849e+11,-2.2805804e+10,-7.526585e+09,-3.9215663e+10,3.7632925e+08,1.9607831e+09,2.9704944e+10,2.9704944e+10,2.0489035e+11,1.2805647e+10,12836589
16000,80,0,1.803433e+08,8.5027152e+16,1.1743265e+17,1.7872133e+21,0,1.3293825e+19,2.1327727e+18,4.32e+12,3.2897227e+16,6.821291e+17,4.1748312e+18,6.724802e+20,0,4857075.2,0,4857075.2,0,1.35e+21,351.68278,1.2327405e-08,351.68277,0,0,1.1741582e+08,-2.5826398e+11,7.1496629e+09,-1.3293497e+11,-2.1328436e+10,-6.8216264e+09,-4.174711e+10,3.4108132e+08,2.0873555e+09,3.0838809e+10,3.0838809e+10,1.9817226e+11,1.2385766e+10,15619519
18000,90,0,1.9961118e+08,9.7546077e+16,1.3900316e+17,1.784916e+21,0,1.3894454e+19,1.9965614e+18,4.32e+12,3.2821004e+16,6.1827048e+17,4.4030246e+18,6.7411587e+20,0,6202463.2,0,6202463.2,0,1.35e+21,435.26672,3.0642354e-08,435.26672,0,0,1.0985622e+08,-2.038225e+11,6.8847413e+09,-1.3894179e+11,-1.9966268e+10,-6.1830085e+09,-4.4029165e+10,3.0915043e+08,2.2014582e+09,3.1784527e+10,3.1784527e+10,1.9173753e+11,1.1983596e+10,18650988
